"분류ID","분류","유형ID","유형","가능여부","유형조합수Nc","전체관측","전체회차수","전체관측비율","공정유형확률","이론기대관측","관측대이론비율","전체Wilson하한","전체Wilson상한","전체Wilson폭","최근관측","최근회차수","모형유형확률","모형특정1조합확률","공정특정1조합확률","최근Wilson하한","최근Wilson상한","최근Wilson폭","추정대상회차","해석"
"decade_occupancy","번호 구간별 개수","0,0,2,4,0","0 · 0 · 2 · 4 · 0","true","9450","0","522","0","0.0011602124477904398","0.6056308977466096","0","0","0.007305355552050563","0.007305355552050563","0","156","0.0005801062238952199","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,3,0,3","0 · 0 · 3 · 0 · 3","true","1200","0","522","0","0.000147328564798786","0.0769055108249663","0","0","0.007305355552050563","0.007305355552050563","0","156","0.000073664282399393","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,3,1,2","0 · 0 · 3 · 1 · 2","true","12000","1","522","0.0019157088122605363","0.0014732856479878602","0.769055108249663","1.3002969348659004","0.0003382497261719287","0.010770533582384188","0.01043228385621226","0","156","0.0007366428239939301","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,3,2,1","0 · 0 · 3 · 2 · 1","true","27000","6","522","0.011494252873563218","0.003314892707972685","1.7303739935617417","3.4674584929757346","0.005278273303937627","0.024847648787146258","0.01956937548320863","1","156","0.004862574559114548","1.8009535404127955e-7","1.2277380399898834e-7","0.0011324653171247909","0.035412864435195084","0.03428039911807029","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,3,3,0","0 · 0 · 3 · 3 · 0","true","14400","3","522","0.005747126436781609","0.0017679427775854322","0.9228661298995956","3.2507423371647506","0.001956426716828272","0.016759212104738953","0.01480278538791068","2","156","0.007294227799049127","5.065435971561894e-7","1.2277380399898834e-7","0.0035229170716722553","0.04553481099555255","0.04201189392388029","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,4,0,2","0 · 0 · 4 · 0 · 2","true","2100","0","522","0","0.0002578249883978755","0.13458464394369102","0","0","0.007305355552050563","0.007305355552050563","0","156","0.00012891249419893776","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,4,1,1","0 · 0 · 4 · 1 · 1","true","10500","1","522","0.0019157088122605363","0.0012891249419893776","0.672923219718455","1.4860536398467432","0.0003382497261719287","0.010770533582384188","0.01043228385621226","0","156","0.0006445624709946888","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,4,2,0","0 · 0 · 4 · 2 · 0","true","9450","0","522","0","0.0011602124477904398","0.6056308977466096","0","0","0.007305355552050563","0.007305355552050563","0","156","0.0005801062238952199","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,5,0,1","0 · 0 · 5 · 0 · 1","true","1260","0","522","0","0.0001546949930387253","0.08075078636621462","0","0","0.007305355552050563","0.007305355552050563","0","156","0.00007734749651936266","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,5,1,0","0 · 0 · 5 · 1 · 0","true","2520","0","522","0","0.0003093899860774506","0.16150157273242924","0","0","0.007305355552050563","0.007305355552050563","0","156","0.0001546949930387253","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,6,0,0","0 · 0 · 6 · 0 · 0","true","210","0","522","0","0.000025782498839787553","0.013458464394369103","0","0","0.007305355552050563","0.007305355552050563","0","156","0.000012891249419893777","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,1,0,0,5","0 · 1 · 0 · 0 · 5","true","10","0","522","0","0.0000012277380399898835","0.0006408792568747192","0","0","0.007305355552050563","0.007305355552050563","0","156","6.138690199949418e-7","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,1,0,1,4","0 · 1 · 0 · 1 · 4","true","500","0","522","0","0.00006138690199949418","0.03204396284373596","0","0","0.007305355552050563","0.007305355552050563","0","156","0.00003069345099974709","6.138690199949418e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
